home_ownership,income,years_in_current_job,tax_liens,number_of_open_accounts,years_of_credit_history,maximum_open_credit,number_of_credit_problem,bankruptcies,purpose,term,current_loan_amount,current_credit_balance,monthly_debt,credit_score,credit_default,num_features_clustered_by_3,num_features_clustered_by_4,income_per_credit_history,mean_credit_score_per_history,number_of_credit_problem_per_history,number_of_bankruptcies_per_history,current_credit_balance_per_income,monthly_income_per_monthly_debt,current_loan_amount_per_income,months_to_pay_per_month_of_credit_history,PCA_5_0,PCA_5_1,PCA_5_2,PCA_5_3,PCA_5_4
Own Home,482087.0,unknown,0.0,11.0,26.3,685960.0,1.0,1.0,debt consolidation,0,11873177.445066666,47386.0,7914.0,749.0,0,0,2,12678888.1,28.479087452471482,0.03802281368821293,0.03802281368821293,0.09829346155362,5.076309914918709,24.628702796521512,4.753723505610962,-0.16881566864501502,1.0804753638680724,-2.2039817670867463,1.8375861249981003,-1.1575165776814202
Own Home,1025487.0,10+ years,0.0,15.0,15.3,1181730.0,0.0,0.0,debt consolidation,1,264968.0,394972.0,18373.0,737.0,1,2,1,15689951.100000001,48.169934640522875,0.0,0.0,0.38515554073332964,4.65124095139607,0.2583826026073466,0.07854900276964623,0.363500126715739,-0.013454037859768463,0.6245910104704794,-0.7584969180671188,0.17598790740412548
Home Mortgage,751412.0,8 years,0.0,11.0,35.0,1182434.0,0.0,0.0,debt consolidation,0,11873177.445066666,308389.0,13651.0,742.0,0,0,2,26299420.0,21.2,0.0,0.0,0.4104126630929503,4.58703880057627,15.801154952365236,2.0708717388690636,0.9928331250463571,-1.4637472184878824,0.08663966508432931,1.7345859978137386,-1.4695919755801397
Own Home,805068.0,6 years,0.0,8.0,22.5,147400.0,1.0,1.0,debt consolidation,0,121396.0,95855.0,11338.0,694.0,0,2,1,18114030.0,30.844444444444445,0.044444444444444446,0.044444444444444446,0.11906447654111206,5.917181160698536,0.15078974695305242,0.03965556666209338,0.6781982996683463,1.3508326530996868,-3.0144480213274805,0.17987894774105517,-1.5883678839699353
Rent,776264.0,8 years,0.0,13.0,13.6,385836.0,1.0,0.0,debt consolidation,0,125840.0,93309.0,7180.0,719.0,0,2,1,10557190.4,52.86764705882353,0.07352941176470588,0.0,0.12020266301155277,9.009563602599814,0.1621097976976905,0.1073925391883773,-0.0755783370519443,1.9939781524456412,-1.3334051733736034,-0.8409714323571781,-0.32267808303170803
Rent,0.0,7 years,0.0,12.0,14.6,366784.0,0.0,0.0,other,1,337304.0,165680.0,18692.0,729.0,1,2,1,0.0,49.93150684931507,0.0,0.0,2.1767,0.0,54.787312,0.10299867010231711,-4.013937981130609,-1.351846684525597,0.43195351345360283,0.47299203617138935,0.46179768691598677
Home Mortgage,1511108.0,10+ years,0.0,9.0,20.3,388124.0,0.0,0.0,home improvements,0,11873177.445066666,51623.0,2317.0,745.0,0,0,2,30675492.400000002,36.69950738916256,0.0,0.0,0.03416234974601418,54.34858293770681,7.8572659565475576,21.036023177489906,1.4593381470464353,2.402929270997795,2.121710277885588,3.657455002739907,-0.5497458664050973
Rent,1040060.0,10+ years,0.0,13.0,12.0,330374.0,0.0,0.0,other,0,250888.0,89015.0,19761.0,705.0,1,2,1,12480720.0,58.75,0.0,0.0,0.08558640847643405,4.385995985358366,0.24122454473780358,0.08816749039915883,0.24962296317750887,0.9961843154224337,0.8645216612664132,-1.5126817399129038,0.09451892202343508
Home Mortgage,0.0,5 years,0.0,17.0,15.7,0.0,1.0,1.0,home improvements,0,129734.0,19.0,17.0,729.0,0,2,1,0.0,46.433121019108285,0.06369426751592357,0.06369426751592357,2.1767,0.0,54.787312,40.506431872111904,-4.269882265912967,3.741680048282715,-2.256278759014669,6.0644609242976255,1.4912573551230361
Home Mortgage,0.0,1 year,0.0,10.0,24.6,511302.0,0.0,0.0,debt consolidation,1,572880.0,205333.0,17613.0,729.0,1,2,1,0.0,29.634146341463413,0.0,0.0,2.1767,0.0,54.787312,0.11018284258809201,-3.5069448511620376,-2.3832591789816604,-0.059272351222069634,1.4360841173317456,-0.8262102510963333
